CustomerID,Age,Gender,Location,Tenure,ContractType,CustomerSince,MonthlyUsageHours,NumTransactions,LoginsPerMonth,CallMinutes,DataUsageGB,MonthlyCharges,TotalCharges,Revenue,DiscountsReceived,SupportCallsCount,ComplaintsCount,SatisfactionScore,ServiceOutagesReported,CLV,Churn
CUST-1000,56,Female,Rural,13,One-Year,2025-08-02,132.3,5,20,404.7,7.9,83.59,1131.69,1131.69,15.29,1,0,5,0,2006.16,0
CUST-1001,69,Male,Urban,72,Month-to-Month,2020-09-04,106.1,7,14,416.0,84.4,108.86,8000.22,8000.22,5.72,1,0,3,1,1567.58,0
CUST-1002,46,Male,Urban,41,Month-to-Month,2023-04-04,113.7,5,24,309.8,2.0,58.77,2309.32,2309.32,40.61,0,0,4,0,1128.38,0
CUST-1003,32,Female,Rural,3,Month-to-Month,2026-06-02,54.4,5,9,356.9,2.3,116.82,339.06,339.06,35.5,4,0,4,1,2242.94,1
CUST-1004,60,Male,Suburban,2,Month-to-Month,2026-07-03,108.6,2,13,622.3,132.7,53.94,108.99,108.99,10.72,2,0,4,1,1035.65,0
CUST-1005,25,Female,Suburban,7,Month-to-Month,2026-02-01,112.1,6,13,679.1,56.4,79.22,577.19,577.19,85.22,2,0,4,1,1521.02,0
CUST-1006,38,Female,Suburban,43,One-Year,2023-02-02,65.5,2,13,420.4,11.6,90.65,3737.2,3737.2,15.49,2,2,3,0,1044.29,0
CUST-1007,56,Male,Urban,7,Month-to-Month,2026-02-01,108.4,1,22,253.8,59.8,125.94,875.7,875.7,59.1,0,1,4,1,2176.24,1
CUST-1008,36,Male,Urban,24,Month-to-Month,2024-09-02,80.9,6,19,269.1,30.0,129.76,3020.82,3020.82,4.84,1,2,3,1,1494.84,1
CUST-1009,40,Female,Suburban,4,One-Year,2026-05-03,66.5,7,17,223.1,20.4,56.17,217.5,217.5,11.83,0,1,4,0,970.62,0
CUST-1010,28,Female,Urban,72,Month-to-Month,2020-09-04,79.1,3,20,611.5,108.4,68.98,5080.83,5080.83,33.36,4,0,4,1,1324.42,0
CUST-1011,28,Female,Urban,14,One-Year,2025-07-03,90.0,7,20,480.8,42.2,73.68,1065.2,1065.2,9.69,0,1,4,0,1273.19,0
CUST-1012,41,Female,Suburban,72,Month-to-Month,2020-09-04,75.9,4,17,415.0,22.6,77.56,5819.5,5819.5,109.72,1,0,3,0,1116.86,1
CUST-1013,70,Male,Suburban,72,Month-to-Month,2020-09-04,61.2,5,16,609.8,187.0,150.62,11044.17,11044.17,28.07,2,0,3,0,2168.93,1
CUST-1014,53,Female,Urban,1,Two-Year,2026-08-02,96.8,7,23,523.9,11.7,27.63,26.43,26.43,46.02,1,1,3,1,358.08,0
CUST-1015,57,Female,Suburban,21,One-Year,2024-12-02,101.8,4,20,20.0,10.0,105.26,2178.87,2178.87,28.85,0,1,3,0,1364.17,0
CUST-1016,41,Female,Suburban,1,Month-to-Month,2026-08-02,89.4,5,13,320.3,6.7,51.3,51.0,51.0,18.28,3,1,3,2,664.85,1
CUST-1017,20,Male,Suburban,72,Month-to-Month,2020-09-04,36.5,9,23,442.3,8.6,127.77,8993.27,8993.27,60.44,1,0,5,1,3066.48,0
CUST-1018,39,Female,Urban,24,Two-Year,2024-09-02,67.5,7,23,769.0,18.9,64.34,1550.32,1550.32,0.8,4,0,3,0,926.5,0
CUST-1019,70,Female,Urban,3,Month-to-Month,2026-06-02,59.7,3,23,746.5,77.9,98.51,287.63,287.63,19.48,0,0,4,0,1891.39,0
CUST-1020,19,Male,Urban,4,Month-to-Month,2026-05-03,136.9,5,19,53.6,72.4,73.7,306.58,306.58,74.54,5,1,1,0,318.38,1
CUST-1021,41,Male,Urban,16,One-Year,2025-05-03,88.5,6,16,221.2,93.7,87.96,1357.19,1357.19,3.11,2,1,3,1,1139.96,0
CUST-1022,61,Female,Urban,72,One-Year,2020-09-04,76.6,6,17,476.1,55.7,93.41,6675.79,6675.79,8.14,0,0,4,1,1793.47,0
CUST-1023,47,Male,Urban,39,One-Year,2023-06-04,68.2,2,17,563.4,44.1,117.58,4413.59,4413.59,113.21,0,0,4,0,2257.54,0
CUST-1024,55,Male,Urban,67,One-Year,2021-02-03,81.3,5,12,331.5,36.8,44.4,2932.63,2932.63,111.77,0,0,4,0,852.48,0
CUST-1025,19,Male,Rural,15,One-Year,2025-06-02,107.5,4,17,543.2,135.0,85.75,1284.29,1284.29,16.99,3,1,2,0,740.88,1
CUST-1026,38,Female,Urban,2,One-Year,2026-07-03,30.1,12,10,330.5,27.4,102.66,206.43,206.43,48.84,2,1,2,0,886.98,1
CUST-1027,50,Female,Suburban,72,One-Year,2020-09-04,91.9,5,15,343.4,144.4,114.37,8095.88,8095.88,34.4,3,0,3,1,1646.93,0
CUST-1028,29,Female,Suburban,1,Month-to-Month,2026-08-02,69.9,7,18,249.3,21.0,117.94,121.59,121.59,23.77,3,0,4,0,2264.45,1
CUST-1029,39,Male,Urban,72,Month-to-Month,2020-09-04,97.9,4,21,203.8,11.1,128.91,9295.83,9295.83,58.86,0,1,4,1,2227.56,0
CUST-1030,61,Female,Rural,16,One-Year,2025-05-03,109.0,5,21,359.0,19.1,38.69,649.52,649.52,36.83,0,0,4,0,742.85,0
CUST-1031,42,Female,Suburban,1,Two-Year,2026-08-02,64.1,2,23,653.4,44.9,113.83,109.54,109.54,3.34,1,1,3,0,1475.24,0
CUST-1032,66,Female,Urban,39,Month-to-Month,2023-06-04,43.9,6,28,536.6,169.1,83.03,3135.7,3135.7,64.06,2,0,4,1,1594.18,0
