CustomerID,Age,Gender,Location,Tenure,ContractType,CustomerSince,MonthlyUsageHours,NumTransactions,LoginsPerMonth,CallMinutes,DataUsageGB,MonthlyCharges,TotalCharges,Revenue,DiscountsReceived,SupportCallsCount,ComplaintsCount,SatisfactionScore,ServiceOutagesReported,CLV,Churn,ContractRisk,SupportContactRate,Complaint_Severity_Index,RevenuePerMonth,Tenure_to_Monthly_Ratio,EngagementScore,CLV_to_Monthly_Ratio,Churn_Probability,Risk_Tier,Value_Tier,Risk_Value_Segment,Annual_Customer_Value,Recommended_Action,Intervention_Cost,Expected_Benefit,Expected_Net_Gain
CUST-1000,56,Female,Rural,13,One-Year,2025-08-02,132.3,5,20,404.7,7.9,83.59,1131.69,1131.69,15.29,1,0,5,0,2006.16,0,0,0.0714,0,87.05,0.1555,1.97,24.0,0.103,Low Risk,Gold/Platinum CLV,Low Risk | Gold/Platinum CLV,1003.08,Free Service & Speed Upgrade,65.0,134.31,69.31
CUST-1001,69,Male,Urban,72,Month-to-Month,2020-09-04,106.1,7,14,416.0,84.4,108.86,8000.22,8000.22,5.72,1,0,3,1,1567.58,0,1,0.0137,0,111.11,0.6614,3.22,14.4,0.2644,Low Risk,Gold/Platinum CLV,Low Risk | Gold/Platinum CLV,1306.32,Free Service & Speed Upgrade,65.0,269.4,204.4
CUST-1002,46,Male,Urban,41,Month-to-Month,2023-04-04,113.7,5,24,309.8,2.0,58.77,2309.32,2309.32,40.61,0,0,4,0,1128.38,0,1,0.0,0,56.32,0.6976,1.86,19.2,0.0996,Low Risk,Silver CLV,Low Risk | Silver CLV,705.24,15% Discount Voucher (3 Months),35.0,50.57,15.57
CUST-1003,32,Female,Rural,3,Month-to-Month,2026-06-02,54.4,5,9,356.9,2.3,116.82,339.06,339.06,35.5,4,0,4,1,2242.94,1,1,1.0,0,113.02,0.0257,1.21,19.2,0.8229,Critical Risk,Gold/Platinum CLV,Critical Risk | Gold/Platinum CLV,1401.84,Dedicated VIP Account Concierge,150.0,1362.14,1212.14
CUST-1004,60,Male,Suburban,2,Month-to-Month,2026-07-03,108.6,2,13,622.3,132.7,53.94,108.99,108.99,10.72,2,0,4,1,1035.65,0,1,0.6667,0,54.49,0.0371,4.55,19.2,0.2655,Low Risk,Silver CLV,Low Risk | Silver CLV,647.28,Free Service & Speed Upgrade,65.0,178.73,113.73
CUST-1005,25,Female,Suburban,7,Month-to-Month,2026-02-01,112.1,6,13,679.1,56.4,79.22,577.19,577.19,85.22,2,0,4,1,1521.02,0,1,0.25,0,82.46,0.0884,3.14,19.2,0.4621,Medium Risk,Silver CLV,Medium Risk | Silver CLV,950.64,Dedicated VIP Account Concierge,150.0,576.35,426.35
CUST-1006,38,Female,Suburban,43,One-Year,2023-02-02,65.5,2,13,420.4,11.6,90.65,3737.2,3737.2,15.49,2,2,3,0,1044.29,0,0,0.0455,6,86.91,0.4744,1.72,11.52,0.2301,Low Risk,Silver CLV,Low Risk | Silver CLV,1087.8,Free Service & Speed Upgrade,65.0,156.19,91.19
CUST-1007,56,Male,Urban,7,Month-to-Month,2026-02-01,108.4,1,22,253.8,59.8,125.94,875.7,875.7,59.1,0,1,4,1,2176.24,1,1,0.0,2,125.1,0.0556,2.8,17.28,0.6555,High Risk,Gold/Platinum CLV,High Risk | Gold/Platinum CLV,1511.28,Dedicated VIP Account Concierge,150.0,1111.26,961.26
CUST-1008,36,Male,Urban,24,Month-to-Month,2024-09-02,80.9,6,19,269.1,30.0,129.76,3020.82,3020.82,4.84,1,2,3,1,1494.84,1,1,0.04,6,125.87,0.185,2.09,11.52,0.8825,Critical Risk,Silver CLV,Critical Risk | Silver CLV,1557.12,Dedicated VIP Account Concierge,150.0,973.57,823.57
CUST-1009,40,Female,Suburban,4,One-Year,2026-05-03,66.5,7,17,223.1,20.4,56.17,217.5,217.5,11.83,0,1,4,0,970.62,0,0,0.0,2,54.37,0.0712,1.7,17.28,0.1004,Low Risk,Silver CLV,Low Risk | Silver CLV,674.04,15% Discount Voucher (3 Months),35.0,43.85,8.85
CUST-1010,28,Female,Urban,72,Month-to-Month,2020-09-04,79.1,3,20,611.5,108.4,68.98,5080.83,5080.83,33.36,4,0,4,1,1324.42,0,1,0.0548,0,70.57,1.0438,4.39,19.2,0.1382,Low Risk,Silver CLV,Low Risk | Silver CLV,827.76,Free Service & Speed Upgrade,65.0,118.97,53.97
CUST-1011,28,Female,Urban,14,One-Year,2025-07-03,90.0,7,20,480.8,42.2,73.68,1065.2,1065.2,9.69,0,1,4,0,1273.19,0,0,0.0,2,76.09,0.19,2.81,17.28,0.1085,Low Risk,Silver CLV,Low Risk | Silver CLV,884.16,15% Discount Voucher (3 Months),35.0,62.16,27.16
CUST-1012,41,Female,Suburban,72,Month-to-Month,2020-09-04,75.9,4,17,415.0,22.6,77.56,5819.5,5819.5,109.72,1,0,3,0,1116.86,1,1,0.0137,0,80.83,0.9283,2.13,14.4,0.2648,Low Risk,Silver CLV,Low Risk | Silver CLV,930.72,Free Service & Speed Upgrade,65.0,192.23,127.23
CUST-1013,70,Male,Suburban,72,Month-to-Month,2020-09-04,61.2,5,16,609.8,187.0,150.62,11044.17,11044.17,28.07,2,0,3,0,2168.93,1,1,0.0274,0,153.39,0.478,5.76,14.4,0.4009,Medium Risk,Gold/Platinum CLV,Medium Risk | Gold/Platinum CLV,1807.44,Dedicated VIP Account Concierge,150.0,713.01,563.01
CUST-1014,53,Female,Urban,1,Two-Year,2026-08-02,96.8,7,23,523.9,11.7,27.63,26.43,26.43,46.02,1,1,3,1,358.08,0,0,0.5,3,26.43,0.0362,2.43,12.96,0.2319,Low Risk,Bronze CLV,Low Risk | Bronze CLV,331.56,15% Discount Voucher (3 Months),35.0,37.37,2.37
